"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","418.33","405.00","421.29","402.08","10.29M","0.88%"
"Dec 30, 2019","414.70","428.79","429.00","409.26","12.60M","-3.64%"
"Dec 27, 2019","430.38","435.00","435.31","426.11","9.96M","-0.13%"
"Dec 26, 2019","430.94","427.91","433.48","426.35","10.65M","1.34%"
"Dec 24, 2019","425.25","418.36","425.47","412.69","8.05M","1.44%"
"Dec 23, 2019","419.22","411.78","422.01","410.00","13.33M","3.36%"
"Dec 20, 2019","405.59","410.29","413.00","400.19","14.79M","0.38%"
"Dec 19, 2019","404.04","397.32","406.85","396.50","18.12M","2.77%"
"Dec 18, 2019","393.15","380.63","395.22","380.58","14.14M","3.74%"
"Dec 17, 2019","378.99","378.99","385.50","375.90","8.50M","-0.66%"
"Dec 16, 2019","381.50","362.55","383.61","362.50","18.22M","6.45%"
"Dec 13, 2019","358.39","361.05","365.21","354.64","6.57M","-0.36%"
"Dec 12, 2019","359.68","354.92","362.74","353.23","7.78M","1.98%"
"Dec 11, 2019","352.70","351.88","357.19","351.09","6.92M","1.11%"
"Dec 10, 2019","348.84","339.96","350.73","339.31","8.84M","2.74%"
"Dec 09, 2019","339.53","336.59","344.45","335.08","9.04M","1.08%"
"Dec 06, 2019","335.89","335.00","338.86","334.77","7.62M","1.67%"
"Dec 05, 2019","330.37","332.83","334.42","327.25","3.74M","-0.80%"
"Dec 04, 2019","333.03","337.75","337.86","332.85","5.54M","-0.94%"
"Dec 03, 2019","336.20","332.62","337.91","332.19","6.61M","0.40%"
"Dec 02, 2019","334.87","329.40","336.38","328.69","6.08M","1.49%"
"Nov 29, 2019","329.94","331.11","331.26","327.50","2.47M","-0.41%"
"Nov 27, 2019","331.29","331.12","333.93","328.57","5.56M","0.72%"
"Nov 26, 2019","328.92","335.27","335.50","327.10","7.96M","-2.21%"
"Nov 25, 2019","336.34","344.32","344.57","334.46","12.35M","0.99%"
"Nov 22, 2019","333.04","340.16","341.00","330.00","16.87M","-6.14%"
"Nov 21, 2019","354.83","354.51","360.84","354.00","6.11M","0.74%"
"Nov 20, 2019","352.22","360.00","361.20","349.57","6.73M","-2.03%"
